path,breed,coarse,image_id
data/oxford_pets/maine_coon/Maine_Coon_204.jpg,maine_coon,cat,Maine_Coon_204
data/oxford_pets/american_bulldog/american_bulldog_138.jpg,american_bulldog,dog,american_bulldog_138
data/oxford_pets/keeshond/keeshond_112.jpg,keeshond,dog,keeshond_112
data/oxford_pets/havanese/havanese_157.jpg,havanese,dog,havanese_157
data/oxford_pets/german_shorthaired/german_shorthaired_132.jpg,german_shorthaired,dog,german_shorthaired_132
data/oxford_pets/basset_hound/basset_hound_161.jpg,basset_hound,dog,basset_hound_161
data/oxford_pets/boxer/boxer_12.jpg,boxer,dog,boxer_12
data/oxford_pets/newfoundland/newfoundland_117.jpg,newfoundland,dog,newfoundland_117
data/oxford_pets/leonberger/leonberger_166.jpg,leonberger,dog,leonberger_166
data/oxford_pets/pug/pug_123.jpg,pug,dog,pug_123
data/oxford_pets/boxer/boxer_159.jpg,boxer,dog,boxer_159
data/oxford_pets/british_shorthair/British_Shorthair_100.jpg,british_shorthair,cat,British_Shorthair_100
data/oxford_pets/english_cocker_spaniel/english_cocker_spaniel_115.jpg,english_cocker_spaniel,dog,english_cocker_spaniel_115
data/oxford_pets/british_shorthair/British_Shorthair_179.jpg,british_shorthair,cat,British_Shorthair_179
data/oxford_pets/american_bulldog/american_bulldog_124.jpg,american_bulldog,dog,american_bulldog_124
data/oxford_pets/siamese/Siamese_167.jpg,siamese,cat,Siamese_167
data/oxford_pets/newfoundland/newfoundland_135.jpg,newfoundland,dog,newfoundland_135
data/oxford_pets/german_shorthaired/german_shorthaired_176.jpg,german_shorthaired,dog,german_shorthaired_176
data/oxford_pets/british_shorthair/British_Shorthair_189.jpg,british_shorthair,cat,British_Shorthair_189
data/oxford_pets/american_bulldog/american_bulldog_14.jpg,american_bulldog,dog,american_bulldog_14
data/oxford_pets/sphynx/Sphynx_202.jpg,sphynx,cat,Sphynx_202
data/oxford_pets/miniature_pinscher/miniature_pinscher_160.jpg,miniature_pinscher,dog,miniature_pinscher_160
data/oxford_pets/wheaten_terrier/wheaten_terrier_142.jpg,wheaten_terrier,dog,wheaten_terrier_142
data/oxford_pets/birman/Birman_108.jpg,birman,cat,Birman_108
data/oxford_pets/ragdoll/Ragdoll_18.jpg,ragdoll,cat,Ragdoll_18
data/oxford_pets/leonberger/leonberger_151.jpg,leonberger,dog,leonberger_151
data/oxford_pets/keeshond/keeshond_148.jpg,keeshond,dog,keeshond_148
data/oxford_pets/great_pyrenees/great_pyrenees_167.jpg,great_pyrenees,dog,great_pyrenees_167
data/oxford_pets/chihuahua/chihuahua_166.jpg,chihuahua,dog,chihuahua_166
data/oxford_pets/pomeranian/pomeranian_10.jpg,pomeranian,dog,pomeranian_10
data/oxford_pets/havanese/havanese_183.jpg,havanese,dog,havanese_183
data/oxford_pets/ragdoll/Ragdoll_145.jpg,ragdoll,cat,Ragdoll_145
data/oxford_pets/japanese_chin/japanese_chin_180.jpg,japanese_chin,dog,japanese_chin_180
data/oxford_pets/russian_blue/Russian_Blue_103.jpg,russian_blue,cat,Russian_Blue_103
data/oxford_pets/yorkshire_terrier/yorkshire_terrier_160.jpg,yorkshire_terrier,dog,yorkshire_terrier_160
data/oxford_pets/leonberger/leonberger_180.jpg,leonberger,dog,leonberger_180
data/oxford_pets/pug/pug_10.jpg,pug,dog,pug_10
data/oxford_pets/newfoundland/newfoundland_13.jpg,newfoundland,dog,newfoundland_13
data/oxford_pets/japanese_chin/japanese_chin_132.jpg,japanese_chin,dog,japanese_chin_132
data/oxford_pets/egyptian_mau/Egyptian_Mau_138.jpg,egyptian_mau,cat,Egyptian_Mau_138
data/oxford_pets/english_setter/english_setter_103.jpg,english_setter,dog,english_setter_103
data/oxford_pets/newfoundland/newfoundland_123.jpg,newfoundland,dog,newfoundland_123
data/oxford_pets/pug/pug_155.jpg,pug,dog,pug_155
data/oxford_pets/keeshond/keeshond_147.jpg,keeshond,dog,keeshond_147
data/oxford_pets/bengal/Bengal_103.jpg,bengal,cat,Bengal_103
data/oxford_pets/havanese/havanese_150.jpg,havanese,dog,havanese_150
data/oxford_pets/keeshond/keeshond_164.jpg,keeshond,dog,keeshond_164
data/oxford_pets/siamese/Siamese_14.jpg,siamese,cat,Siamese_14
data/oxford_pets/scottish_terrier/scottish_terrier_167.jpg,scottish_terrier,dog,scottish_terrier_167
data/oxford_pets/shiba_inu/shiba_inu_178.jpg,shiba_inu,dog,shiba_inu_178
data/oxford_pets/shiba_inu/shiba_inu_119.jpg,shiba_inu,dog,shiba_inu_119
data/oxford_pets/beagle/beagle_178.jpg,beagle,dog,beagle_178
data/oxford_pets/miniature_pinscher/miniature_pinscher_109.jpg,miniature_pinscher,dog,miniature_pinscher_109
data/oxford_pets/havanese/havanese_172.jpg,havanese,dog,havanese_172
data/oxford_pets/russian_blue/Russian_Blue_100.jpg,russian_blue,cat,Russian_Blue_100
data/oxford_pets/havanese/havanese_117.jpg,havanese,dog,havanese_117
data/oxford_pets/german_shorthaired/german_shorthaired_180.jpg,german_shorthaired,dog,german_shorthaired_180
data/oxford_pets/american_bulldog/american_bulldog_161.jpg,american_bulldog,dog,american_bulldog_161
data/oxford_pets/boxer/boxer_146.jpg,boxer,dog,boxer_146
data/oxford_pets/american_bulldog/american_bulldog_106.jpg,american_bulldog,dog,american_bulldog_106
data/oxford_pets/pug/pug_11.jpg,pug,dog,pug_11
data/oxford_pets/abyssinian/Abyssinian_125.jpg,abyssinian,cat,Abyssinian_125
data/oxford_pets/pomeranian/pomeranian_154.jpg,pomeranian,dog,pomeranian_154
data/oxford_pets/egyptian_mau/Egyptian_Mau_186.jpg,egyptian_mau,cat,Egyptian_Mau_186
data/oxford_pets/saint_bernard/saint_bernard_121.jpg,saint_bernard,dog,saint_bernard_121
data/oxford_pets/american_bulldog/american_bulldog_185.jpg,american_bulldog,dog,american_bulldog_185
data/oxford_pets/sphynx/Sphynx_1.jpg,sphynx,cat,Sphynx_1
data/oxford_pets/havanese/havanese_185.jpg,havanese,dog,havanese_185
data/oxford_pets/boxer/boxer_129.jpg,boxer,dog,boxer_129
data/oxford_pets/great_pyrenees/great_pyrenees_145.jpg,great_pyrenees,dog,great_pyrenees_145
data/oxford_pets/sphynx/Sphynx_172.jpg,sphynx,cat,Sphynx_172
data/oxford_pets/german_shorthaired/german_shorthaired_125.jpg,german_shorthaired,dog,german_shorthaired_125
data/oxford_pets/great_pyrenees/great_pyrenees_105.jpg,great_pyrenees,dog,great_pyrenees_105
data/oxford_pets/bengal/Bengal_176.jpg,bengal,cat,Bengal_176
data/oxford_pets/sphynx/Sphynx_160.jpg,sphynx,cat,Sphynx_160
data/oxford_pets/english_setter/english_setter_138.jpg,english_setter,dog,english_setter_138
data/oxford_pets/abyssinian/Abyssinian_193.jpg,abyssinian,cat,Abyssinian_193
data/oxford_pets/american_bulldog/american_bulldog_197.jpg,american_bulldog,dog,american_bulldog_197
data/oxford_pets/russian_blue/Russian_Blue_178.jpg,russian_blue,cat,Russian_Blue_178
data/oxford_pets/ragdoll/Ragdoll_182.jpg,ragdoll,cat,Ragdoll_182
data/oxford_pets/japanese_chin/japanese_chin_117.jpg,japanese_chin,dog,japanese_chin_117
data/oxford_pets/keeshond/keeshond_127.jpg,keeshond,dog,keeshond_127
data/oxford_pets/maine_coon/Maine_Coon_159.jpg,maine_coon,cat,Maine_Coon_159
data/oxford_pets/bengal/Bengal_123.jpg,bengal,cat,Bengal_123
data/oxford_pets/english_cocker_spaniel/english_cocker_spaniel_12.jpg,english_cocker_spaniel,dog,english_cocker_spaniel_12
data/oxford_pets/abyssinian/Abyssinian_107.jpg,abyssinian,cat,Abyssinian_107
data/oxford_pets/havanese/havanese_180.jpg,havanese,dog,havanese_180
data/oxford_pets/havanese/havanese_166.jpg,havanese,dog,havanese_166
data/oxford_pets/russian_blue/Russian_Blue_113.jpg,russian_blue,cat,Russian_Blue_113
data/oxford_pets/newfoundland/newfoundland_122.jpg,newfoundland,dog,newfoundland_122
data/oxford_pets/english_cocker_spaniel/english_cocker_spaniel_153.jpg,english_cocker_spaniel,dog,english_cocker_spaniel_153
data/oxford_pets/wheaten_terrier/wheaten_terrier_176.jpg,wheaten_terrier,dog,wheaten_terrier_176
data/oxford_pets/japanese_chin/japanese_chin_170.jpg,japanese_chin,dog,japanese_chin_170
data/oxford_pets/pomeranian/pomeranian_183.jpg,pomeranian,dog,pomeranian_183
data/oxford_pets/english_setter/english_setter_119.jpg,english_setter,dog,english_setter_119
data/oxford_pets/german_shorthaired/german_shorthaired_175.jpg,german_shorthaired,dog,german_shorthaired_175
data/oxford_pets/boxer/boxer_125.jpg,boxer,dog,boxer_125
data/oxford_pets/keeshond/keeshond_124.jpg,keeshond,dog,keeshond_124
data/oxford_pets/sphynx/Sphynx_173.jpg,sphynx,cat,Sphynx_173
data/oxford_pets/boxer/boxer_112.jpg,boxer,dog,boxer_112
data/oxford_pets/shiba_inu/shiba_inu_141.jpg,shiba_inu,dog,shiba_inu_141
data/oxford_pets/yorkshire_terrier/yorkshire_terrier_149.jpg,yorkshire_terrier,dog,yorkshire_terrier_149
