image_id,breed,coarse,severity,drift,fine_pred,fine_correct,coarse_pred,coarse_correct,error_type
Maine_Coon_204,maine_coon,cat,0.0,0.0,maine_coon,True,cat,True,correct
Maine_Coon_204,maine_coon,cat,0.1,0.0869,maine_coon,True,cat,True,correct
Maine_Coon_204,maine_coon,cat,0.2,0.2238,maine_coon,True,cat,True,correct
Maine_Coon_204,maine_coon,cat,0.3,0.2254,maine_coon,True,cat,True,correct
Maine_Coon_204,maine_coon,cat,0.4,0.2434,maine_coon,True,cat,True,correct
Maine_Coon_204,maine_coon,cat,0.5,0.2704,british_shorthair,False,cat,True,within_superclass
Maine_Coon_204,maine_coon,cat,0.6,0.2987,british_shorthair,False,cat,True,within_superclass
Maine_Coon_204,maine_coon,cat,0.7,0.3238,british_shorthair,False,cat,True,within_superclass
Maine_Coon_204,maine_coon,cat,0.8,0.335,british_shorthair,False,cat,True,within_superclass
Maine_Coon_204,maine_coon,cat,0.9,0.3585,british_shorthair,False,cat,True,within_superclass
Maine_Coon_204,maine_coon,cat,1.0,0.3875,british_shorthair,False,cat,True,within_superclass
american_bulldog_138,american_bulldog,dog,0.0,0.0,american_bulldog,True,dog,True,correct
american_bulldog_138,american_bulldog,dog,0.1,0.0659,american_bulldog,True,dog,True,correct
american_bulldog_138,american_bulldog,dog,0.2,0.2082,american_bulldog,True,dog,True,correct
american_bulldog_138,american_bulldog,dog,0.3,0.2975,great_pyrenees,False,dog,True,within_superclass
american_bulldog_138,american_bulldog,dog,0.4,0.3162,american_bulldog,True,dog,True,correct
american_bulldog_138,american_bulldog,dog,0.5,0.3461,english_setter,False,dog,True,within_superclass
american_bulldog_138,american_bulldog,dog,0.6,0.3967,english_setter,False,dog,True,within_superclass
american_bulldog_138,american_bulldog,dog,0.7,0.4163,english_setter,False,dog,True,within_superclass
american_bulldog_138,american_bulldog,dog,0.8,0.4445,english_setter,False,dog,True,within_superclass
american_bulldog_138,american_bulldog,dog,0.9,0.4595,english_setter,False,dog,True,within_superclass
american_bulldog_138,american_bulldog,dog,1.0,0.4727,english_setter,False,dog,True,within_superclass
keeshond_112,keeshond,dog,0.0,0.0,keeshond,True,dog,True,correct
keeshond_112,keeshond,dog,0.1,0.0821,keeshond,True,dog,True,correct
keeshond_112,keeshond,dog,0.2,0.194,keeshond,True,dog,True,correct
keeshond_112,keeshond,dog,0.3,0.2559,keeshond,True,dog,True,correct
keeshond_112,keeshond,dog,0.4,0.2802,keeshond,True,dog,True,correct
keeshond_112,keeshond,dog,0.5,0.3184,staffordshire_bull_terrier,False,dog,True,within_superclass
keeshond_112,keeshond,dog,0.6,0.359,german_shorthaired,False,dog,True,within_superclass
keeshond_112,keeshond,dog,0.7,0.3902,german_shorthaired,False,dog,True,within_superclass
keeshond_112,keeshond,dog,0.8,0.4153,german_shorthaired,False,dog,True,within_superclass
keeshond_112,keeshond,dog,0.9,0.4213,german_shorthaired,False,dog,True,within_superclass
keeshond_112,keeshond,dog,1.0,0.4287,german_shorthaired,False,dog,True,within_superclass
havanese_157,havanese,dog,0.0,0.0,havanese,True,dog,True,correct
havanese_157,havanese,dog,0.1,0.0923,havanese,True,dog,True,correct
havanese_157,havanese,dog,0.2,0.182,havanese,True,dog,True,correct
havanese_157,havanese,dog,0.3,0.2017,japanese_chin,False,dog,True,within_superclass
havanese_157,havanese,dog,0.4,0.2593,saint_bernard,False,dog,True,within_superclass
havanese_157,havanese,dog,0.5,0.3312,staffordshire_bull_terrier,False,dog,True,within_superclass
havanese_157,havanese,dog,0.6,0.4017,german_shorthaired,False,dog,True,within_superclass
havanese_157,havanese,dog,0.7,0.4364,german_shorthaired,False,dog,True,within_superclass
havanese_157,havanese,dog,0.8,0.4627,boxer,False,dog,True,within_superclass
havanese_157,havanese,dog,0.9,0.4753,boxer,False,dog,True,within_superclass
havanese_157,havanese,dog,1.0,0.4828,boxer,False,dog,True,within_superclass
german_shorthaired_132,german_shorthaired,dog,0.0,0.0,great_pyrenees,False,dog,True,within_superclass
german_shorthaired_132,german_shorthaired,dog,0.1,0.0907,great_pyrenees,False,dog,True,within_superclass
german_shorthaired_132,german_shorthaired,dog,0.2,0.2211,great_pyrenees,False,dog,True,within_superclass
german_shorthaired_132,german_shorthaired,dog,0.3,0.2031,great_pyrenees,False,dog,True,within_superclass
german_shorthaired_132,german_shorthaired,dog,0.4,0.2751,great_pyrenees,False,dog,True,within_superclass
german_shorthaired_132,german_shorthaired,dog,0.5,0.4501,shiba_inu,False,dog,True,within_superclass
german_shorthaired_132,german_shorthaired,dog,0.6,0.5461,shiba_inu,False,dog,True,within_superclass
german_shorthaired_132,german_shorthaired,dog,0.7,0.5613,shiba_inu,False,dog,True,within_superclass
german_shorthaired_132,german_shorthaired,dog,0.8,0.5718,shiba_inu,False,dog,True,within_superclass
german_shorthaired_132,german_shorthaired,dog,0.9,0.5701,shiba_inu,False,dog,True,within_superclass
german_shorthaired_132,german_shorthaired,dog,1.0,0.5656,yorkshire_terrier,False,dog,True,within_superclass
basset_hound_161,basset_hound,dog,0.0,0.0,basset_hound,True,dog,True,correct
